#,Company,Symbol,Weight
1,Apple Inc,AAPL,7.427244
2,Microsoft Corp,MSFT,6.914768
3,Amazon.com Inc,AMZN,3.043082
4,Nvidia Corp,NVDA,2.868252
5,Alphabet Inc Cl A,GOOGL,1.993679
6,Tesla Inc,TSLA,1.906815
7,Alphabet Inc Cl C,GOOG,1.722297
8,Meta Platforms Inc Class A,META,1.688671
9,Berkshire Hathaway Inc Cl B,BRK,1.63893
10,Unitedhealth Group Inc,UNH,1.159627
11,Johnson & Johnson,JNJ,1.159413
12,Exxon Mobil Corp,XOM,1.154659
13,Jpmorgan Chase & Co,JPM,1.13729
14,Visa Inc Class a Shares,V,1.006297
15,Broadcom Inc,AVGO,0.984327
16,Eli Lilly & Co,LLY,0.958044
17,Procter & Gamble Co,PG,0.957216
18,Mastercard Inc A,MA,0.855898
19,Home Depot Inc,HD,0.826342
20,Merck & Co. Inc.,MRK,0.75356
21,Chevron Corp,CVX,0.744491
22,Pepsico Inc,PEP,0.695207
23,Abbvie Inc,ABBV,0.665252
24,Coca Cola Co,KO,0.651256
25,Costco Wholesale Corp,COST,0.630444
26,Adobe Inc,ADBE,0.617044
27,Pfizer Inc,PFE,0.614358
28,Walmart Inc,WMT,0.591781
29,Mcdonald S Corp,MCD,0.583664
30,Cisco Systems Inc,CSCO,0.580405
31,Salesforce Inc,CRM,0.563198
32,Thermo Fisher Scientific Inc,TMO,0.563003
33,Bank of America Corp,BAC,0.549779
34,Accenture Plc Cl A,ACN,0.548206
35,Advanced Micro Devices,AMD,0.525324
36,Oracle Corp,ORCL,0.524487
37,Netflix Inc,NFLX,0.521958
38,Abbott Laboratories,ABT,0.502432
39,Linde Plc,LIN,0.499148
40,Comcast Corp Class A,CMCSA,0.465531
41,Walt Disney Co,DIS,0.452643
42,Danaher Corp,DHR,0.436234
43,Texas Instruments Inc,TXN,0.434527
44,Wells Fargo & Co,WFC,0.429951
45,Nextera Energy Inc,NEE,0.415502
46,Verizon Communications Inc,VZ,0.415486
47,Intel Corp,INTC,0.412104
48,Philip Morris International,PM,0.399127
49,Raytheon Technologies Corp,RTX,0.388515
50,Nike Inc Cl B,NKE,0.380194
51,Bristol Myers Squibb Co,BMY,0.377584
52,Qualcomm Inc,QCOM,0.37108
